domain,domain_display_name,model,metric_group,metric,subkey,value,count
real_validation,real_validation,tcd,alignment,line_reprojection_diagonal,mean,0.016784,120
real_validation,real_validation,tcd,alignment,line_reprojection_diagonal,median,0.00143257,120
real_validation,real_validation,tcd,alignment,line_reprojection_diagonal,q90,0.00252527,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_diagonal,count,120,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_diagonal,mean,0.0168895,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_diagonal,median,0.00143257,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_diagonal,q90,0.00252527,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_px,count,120,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_px,mean,24.8039,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_px,median,2.10388,120
real_validation,real_validation,tcd,alignment,line_reprojection_in_frame_px,q90,3.70862,120
real_validation,real_validation,tcd,alignment,line_reprojection_px,count,120,120
real_validation,real_validation,tcd,alignment,line_reprojection_px,mean,24.649,120
real_validation,real_validation,tcd,alignment,line_reprojection_px,median,2.10388,120
real_validation,real_validation,tcd,alignment,line_reprojection_px,q90,3.70862,120
real_validation,real_validation,tcd,alignment,line_samples_in_frame,,32721,32721
real_validation,real_validation,tcd,alignment,line_samples_in_frame_fraction,,0.99881,
real_validation,real_validation,tcd,alignment,line_samples_total,,32760,32760
real_validation,real_validation,tcd,alignment,predicted_homography_inliers_on_success,count,120,120
real_validation,real_validation,tcd,alignment,predicted_homography_inliers_on_success,mean,13.7,120
real_validation,real_validation,tcd,alignment,predicted_homography_inliers_on_success,median,14,120
real_validation,real_validation,tcd,alignment,predicted_homography_inliers_on_success,q90,14,120
real_validation,real_validation,tcd,alignment,predicted_homography_success,,120,
real_validation,real_validation,tcd,alignment,predicted_homography_success_rate,,1,
real_validation,real_validation,tcd,alignment,sample_count,,120,
real_validation,real_validation,tcd,alignment,undefined_reasons,degenerate_polygon,1,
real_validation,real_validation,tcd,per_channel,far_doubles_left,pck,0.005=0.958333; 0.01=0.983333; 0.02=1; 0.05=1,120
real_validation,real_validation,tcd,per_channel,far_doubles_left,pair_error_px.mean,3.62526,120
real_validation,real_validation,tcd,per_channel,far_doubles_right,pck,0.005=0.941667; 0.01=0.991667; 0.02=0.991667; 0.05=0.991667,120
real_validation,real_validation,tcd,per_channel,far_doubles_right,pair_error_px.mean,3.34902,119
real_validation,real_validation,tcd,per_channel,near_doubles_left,pck,0.005=0.813559; 0.01=0.983051; 0.02=0.991525; 0.05=0.991525,118
real_validation,real_validation,tcd,per_channel,near_doubles_left,pair_error_px.mean,4.84153,117
real_validation,real_validation,tcd,per_channel,near_doubles_right,pck,0.005=0.923077; 0.01=0.974359; 0.02=1; 0.05=1,117
real_validation,real_validation,tcd,per_channel,near_doubles_right,pair_error_px.mean,4.07078,117
real_validation,real_validation,tcd,per_channel,far_singles_left,pck,0.005=0.975; 0.01=0.991667; 0.02=1; 0.05=1,120
real_validation,real_validation,tcd,per_channel,far_singles_left,pair_error_px.mean,3.29698,120
real_validation,real_validation,tcd,per_channel,near_singles_left,pck,0.005=0.94958; 0.01=0.97479; 0.02=0.991597; 0.05=1,119
real_validation,real_validation,tcd,per_channel,near_singles_left,pair_error_px.mean,4.11303,119
real_validation,real_validation,tcd,per_channel,far_singles_right,pck,0.005=0.941667; 0.01=0.991667; 0.02=0.991667; 0.05=0.991667,120
real_validation,real_validation,tcd,per_channel,far_singles_right,pair_error_px.mean,3.21918,119
real_validation,real_validation,tcd,per_channel,near_singles_right,pck,0.005=0.907563; 0.01=0.957983; 0.02=0.97479; 0.05=0.983193,119
real_validation,real_validation,tcd,per_channel,near_singles_right,pair_error_px.mean,3.91817,117
real_validation,real_validation,tcd,per_channel,far_service_left,pck,0.005=0.891667; 0.01=0.958333; 0.02=0.991667; 0.05=1,120
real_validation,real_validation,tcd,per_channel,far_service_left,pair_error_px.mean,4.19675,120
real_validation,real_validation,tcd,per_channel,far_service_right,pck,0.005=0.9; 0.01=0.975; 0.02=0.991667; 0.05=0.991667,120
real_validation,real_validation,tcd,per_channel,far_service_right,pair_error_px.mean,3.94562,119
real_validation,real_validation,tcd,per_channel,near_service_left,pck,0.005=0.941667; 0.01=0.966667; 0.02=0.991667; 0.05=1,120
real_validation,real_validation,tcd,per_channel,near_service_left,pair_error_px.mean,3.66825,120
